German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 https://RBP2GO.dkfz.de 
 Wassmer et al., 2023 
 
 
"InterPro_ID"	"Type"	"InterPro_Name"	"Selection"
"IPR002735"	"Domain"	"Translation initiation factor IF2/IF5 domain"	"Selected"
"IPR002740"	"Domain"	"EVE domain"	"Selected"
"IPR002775"	"Domain"	"DNA/RNA-binding protein Alba-like"	"Selected"
"IPR002784"	"Domain"	"Ribosomal protein L14e domain"	"Selected"
"IPR002853"	"Domain"	"Transcription initiation factor IIE subunit alpha, N-terminal"	"Selected"
"IPR002877"	"Domain"	"Ribosomal RNA methyltransferase, FtsJ domain"	"Selected"
"IPR002885"	"Repeat"	"Pentatricopeptide repeat"	"Selected"
"IPR002934"	"Domain"	"Polymerase, nucleotidyl transferase domain"	"Selected"
"IPR002942"	"Domain"	"RNA-binding S4 domain"	"Selected"
"IPR002999"	"Domain"	"Tudor domain"	"Selected"
"IPR003029"	"Domain"	"S1 domain"	"Selected"
"IPR003034"	"Domain"	"SAP domain"	"Selected"
"IPR003100"	"Domain"	"PAZ domain"	"Selected"
"IPR003107"	"Repeat"	"HAT (Half-A-TPR) repeat"	"Selected"
"IPR003156"	"Domain"	"DHHA1 domain"	"Selected"
"IPR003165"	"Domain"	"Piwi domain"	"Selected"
"IPR003166"	"Domain"	"Transcription factor TFIIE beta subunit, DNA-binding domain"	"Selected"
"IPR003173"	"Domain"	"Transcriptional coactivator p15 (PC4), C-terminal"	"Selected"
"IPR003228"	"Domain"	"Transcription initiation factor TFIID subunit 12 domain"	"Selected"
"IPR003307"	"Domain"	"W2 domain"	"Selected"
"IPR003323"	"Domain"	"OTU domain"	"Selected"
"IPR003604"	"Domain"	"Matrin/U1-C-like, C2H2-type zinc finger"	"Selected"
"IPR003652"	"Domain"	"Ataxin, AXH domain"	"Selected"
"IPR003827"	"Domain"	"tRNA wybutosine-synthesizing protein"	"Selected"
"IPR003890"	"Domain"	"MIF4G-like, type 3"	"Selected"
"IPR003891"	"Domain"	"Initiation factor eIF-4 gamma, MA3"	"Selected"
"IPR003954"	"Domain"	"RNA recognition motif domain, eukaryote"	"Selected"
"IPR004038"	"Domain"	"Ribosomal protein L7Ae/L30e/S12e/Gadd45"	"Selected"
"IPR004044"	"Domain"	"K Homology domain, type 2"	"Selected"
"IPR004087"	"Domain"	"K Homology domain"	"Selected"
"IPR004088"	"Domain"	"K Homology domain, type 1"	"Selected"
"IPR004098"	"Domain"	"Prp18"	"Selected"
"IPR004114"	"Domain"	"THUMP domain"	"Selected"
"IPR004125"	"Domain"	"Signal recognition particle, SRP54 subunit, M-domain"	"Selected"
"IPR004149"	"Domain"	"Zinc-finger, NAD-dependent DNA ligase C4-type"	"Selected"
"IPR004154"	"Domain"	"Anticodon-binding"	"Selected"
"IPR004160"	"Domain"	"Translation elongation factor EFTu/EF1A, C-terminal"	"Selected"
"IPR004161"	"Domain"	"Translation elongation factor EFTu-like, domain 2"	"Selected"
"IPR004188"	"Domain"	"Phenylalanine-tRNA ligase, class II, N-terminal"	"Selected"
"IPR004198"	"Domain"	"Zinc finger, C5HC2-type"	"Selected"
"IPR004341"	"Domain"	"CAT RNA-binding domain"	"Selected"
"IPR004364"	"Domain"	"Aminoacyl-tRNA synthetase, class II (D/K/N)"	"Selected"
"IPR004365"	"Domain"	"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type"	"Selected"
"IPR004457"	"Domain"	"Zinc finger, ZPR1-type"	"Selected"
"IPR004495"	"Domain"	"Methionyl-tRNA synthetase, beta subunit, C-terminal"	"Selected"
"IPR004521"	"Domain"	"Uncharacterised domain CHP00451"	"Selected"
"IPR004823"	"Domain"	"TATA box binding protein associated factor (TAF), histone-like fold domain"	"Selected"
"IPR004859"	"Domain"	"Putative 5-3 exonuclease"	"Selected"
"IPR004871"	"Domain"	"Cleavage/polyadenylation specificity factor, A subunit, C-terminal"	"Selected"
"IPR004971"	"Domain"	"mRNA (guanine-N(7))-methyltransferase domain"	"Selected"
"IPR005034"	"Domain"	"Dicer dimerisation domain"	"Selected"
"IPR005100"	"Domain"	"NGN domain"	"Selected"
"IPR005120"	"Domain"	"UPF3 domain"	"Selected"
"IPR005121"	"Domain"	"Ferrodoxin-fold anticodon-binding domain"	"Selected"
"IPR005140"	"Domain"	"eRF1 domain 1/Pelota-like"	"Selected"
"IPR005141"	"Domain"	"eRF1 domain 2"	"Selected"
"IPR005142"	"Domain"	"eRF1 domain 3"	"Selected"
"IPR005146"	"Domain"	"B3/B4 tRNA-binding domain"	"Selected"
"IPR005147"	"Domain"	"tRNA synthetase, B5-domain"	"Selected"
"IPR005148"	"Domain"	"Arginyl tRNA synthetase N-terminal domain"	"Selected"
"IPR005155"	"Domain"	"UPF0113, PUA domain"	"Selected"
"IPR005324"	"Domain"	"Ribosomal protein S5, C-terminal"	"Selected"
"IPR005326"	"Domain"	"Plectin/S10, N-terminal"	"Selected"
"IPR005517"	"Domain"	"Translation elongation factor EFG/EF2, domain IV"	"Selected"
"IPR005568"	"Domain"	"Ribosomal protein L6, N-terminal"	"Selected"
"IPR005571"	"Domain"	"RNA polymerase, Rpb5, N-terminal"	"Selected"
"IPR005576"	"Domain"	"RNA polymerase Rpb7-like , N-terminal"	"Selected"
"IPR005612"	"Domain"	"CCAAT-binding factor"	"Selected"
"IPR005633"	"Domain"	"Ribosomal protein L23/L25, N-terminal"	"Selected"
"IPR005637"	"Domain"	"TAP C-terminal (TAP-C) domain"	"Selected"
"IPR005818"	"Domain"	"Linker histone H1/H5, domain H15"	"Selected"
"IPR005824"	"Domain"	"KOW"	"Selected"
"IPR006070"	"Domain"	"YrdC-like domain"	"Selected"
"IPR006073"	"Domain"	"GTP binding domain"	"Selected"
"IPR006133"	"Domain"	"DNA-directed DNA polymerase, family B, exonuclease domain"	"Selected"
"IPR006134"	"Domain"	"DNA-directed DNA polymerase, family B, multifunctional domain"	"Selected"
"IPR006145"	"Domain"	"Pseudouridine synthase, RsuA/RluA-like"	"Selected"
"IPR006195"	"Domain"	"Aminoacyl-tRNA synthetase, class II"	"Selected"
"IPR006196"	"Domain"	"RNA-binding domain, S1, IF1 type"	"Selected"
"IPR006295"	"Domain"	"DNA primase, DnaG"	"Selected"
"IPR006561"	"Domain"	"DZF domain"	"Selected"
"IPR006572"	"Domain"	"Zinc finger, DBF-type"	"Selected"
"IPR006576"	"Domain"	"BRK domain"	"Selected"
"IPR006630"	"Domain"	"La-type HTH domain"	"Selected"
"IPR006677"	"Domain"	"tRNA intron endonuclease, catalytic domain-like"	"Selected"
"IPR006678"	"Domain"	"tRNA intron endonuclease, N-terminal"	"Selected"
"IPR006767"	"Domain"	"Cwf19-like protein, C-terminal domain-2"	"Selected"
"IPR006768"	"Domain"	"Cwf19-like, C-terminal domain-1"	"Selected"
"IPR006847"	"Domain"	"Translation initiation factor IF-2, N-terminal"	"Selected"
"IPR006895"	"Domain"	"Zinc finger, Sec23/Sec24-type"	"Selected"
"IPR006935"	"Domain"	"Helicase/UvrB, N-terminal"	"Selected"
"IPR007009"	"Domain"	"Shq1 protein domain"	"Selected"
"IPR007010"	"Domain"	"Poly(A) polymerase, RNA-binding domain"	"Selected"
"IPR007042"	"Domain"	"SERRATE/Ars2 , C-terminal"	"Selected"
"IPR007046"	"Domain"	"RNA polymerase sigma factor 54, core-binding domain"	"Selected"
"IPR007064"	"Domain"	"Nmd3, N-terminal"	"Selected"
"IPR007066"	"Domain"	"RNA polymerase Rpb1, domain 3"	"Selected"
"IPR007073"	"Domain"	"RNA polymerase Rpb1, domain 7"	"Selected"
"IPR007075"	"Domain"	"RNA polymerase Rpb1, domain 6"	"Selected"
"IPR007080"	"Domain"	"RNA polymerase Rpb1, domain 1"	"Selected"
"IPR007081"	"Domain"	"RNA polymerase Rpb1, domain 5"	"Selected"
"IPR007083"	"Domain"	"RNA polymerase Rpb1, domain 4"	"Selected"
"IPR007109"	"Domain"	"Brix domain"	"Selected"
"IPR007120"	"Domain"	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"	"Selected"
"IPR007127"	"Domain"	"RNA polymerase sigma factor 70, region 1.1"	"Selected"
"IPR007148"	"Domain"	"Small-subunit processome, Utp12"	"Selected"
"IPR007177"	"Domain"	"16S/18S rRNA aminocarboxypropyltransferase Tsr3, C-terminal"	"Selected"
"IPR007180"	"Domain"	"Domain of unknown function DUF382"	"Selected"
"IPR007193"	"Domain"	"Up-frameshift suppressor 2, C-terminal"	"Selected"
"IPR007196"	"Domain"	"CCR4-Not complex component, Not1, C-terminal"	"Selected"
"IPR007201"	"Domain"	"Mei2-like, C-terminal RNA recognition motif"	"Selected"
"IPR007207"	"Domain"	"CCR4-Not complex component, Not N-terminal domain"	"Selected"
"IPR007222"	"Domain"	"Signal recognition particle receptor, alpha subunit, N-terminal"	"Selected"
"IPR007230"	"Domain"	"Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain"	"Selected"
"IPR007275"	"Domain"	"YTH domain"	"Selected"
"IPR007282"	"Domain"	"NOT2/NOT3/NOT5, C-terminal"	"Selected"
"IPR007287"	"Domain"	"Sof1-like protein"	"Selected"
"IPR007319"	"Domain"	"Small-subunit processome, Utp21"	"Selected"
"IPR007502"	"Domain"	"Helicase-associated domain"	"Selected"
"IPR007529"	"Domain"	"Zinc finger, HIT-type"	"Selected"
"IPR007631"	"Domain"	"RNA polymerase sigma factor 70, non-essential domain"	"Selected"
"IPR007634"	"Domain"	"RNA polymerase sigma factor 54, DNA-binding"	"Selected"
"IPR007638"	"Domain"	"Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2"	"Selected"
"IPR007639"	"Domain"	"Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal"	"Selected"
"IPR007641"	"Domain"	"RNA polymerase Rpb2, domain 7"	"Selected"
"IPR007642"	"Domain"	"RNA polymerase Rpb2, domain 2"	"Selected"
"IPR007644"	"Domain"	"RNA polymerase, beta subunit, protrusion"	"Selected"
"IPR007645"	"Domain"	"RNA polymerase Rpb2, domain 3"	"Selected"
"IPR007646"	"Domain"	"RNA polymerase Rpb2, domain 4"	"Selected"
"IPR007647"	"Domain"	"RNA polymerase Rpb2, domain 5"	"Selected"
"IPR007708"	"Domain"	"Lariat debranching enzyme, C-terminal"	"Selected"
"IPR007718"	"Domain"	"Srp40, C-terminal"	"Selected"
"IPR007722"	"Domain"	"mRNA decapping protein 2, Box A domain"	"Selected"
"IPR007741"	"Domain"	"Ribosomal protein/NADH dehydrogenase domain"	"Selected"
"IPR007846"	"Domain"	"RNA-recognition motif (RRM) Nup35-type domain"	"Selected"
"IPR007854"	"Domain"	"Pre-mRNA polyadenylation factor Fip1 domain"	"Selected"
"IPR007862"	"Domain"	"Adenylate kinase, active site lid domain"	"Selected"
"IPR007871"	"Domain"	"Methyltransferase TRM13"	"Selected"
"IPR008395"	"Domain"	"Agenet-like domain"	"Selected"
"IPR008532"	"Domain"	"NFACT, RNA-binding domain"	"Selected"
"IPR008669"	"Domain"	"LSM-interacting domain"	"Selected"
"IPR008806"	"Domain"	"RNA polymerase III Rpc82, C -terminal"	"Selected"
"IPR008847"	"Domain"	"Suppressor of forked"	"Selected"
"IPR008850"	"Repeat"	"TEP1, N-terminal"	"Selected"
"IPR008858"	"Domain"	"TROVE domain"	"Selected"
"IPR008905"	"Domain"	"Eukaryotic translation initiation factor 3 subunit C, N-terminal domain"	"Selected"
"IPR008909"	"Domain"	"DALR anticodon binding"	"Selected"
"IPR008932"	"Domain"	"Ribosomal protein L7/L12, oligomerisation"	"Selected"
"IPR009022"	"Domain"	"Elongation factor G, domain III"	"Selected"
"IPR009025"	"Domain"	"DNA-directed RNA polymerase, RBP11-like dimerisation domain"	"Selected"
"IPR009042"	"Domain"	"RNA polymerase sigma-70 region 1.2"	"Selected"
"IPR009349"	"Domain"	"Zinc finger, C2HC5-type"	"Selected"
"IPR009604"	"Domain"	"LsmAD domain"	"Selected"
"IPR009674"	"Domain"	"DNA-directed RNA polymerase I subunit RPA2, domain 4"	"Selected"
"IPR009723"	"Domain"	"Pop1, N-terminal"	"Selected"
"IPR009818"	"Domain"	"Ataxin-2, C-terminal"	"Selected"
"IPR009917"	"Domain"	"SRA1/Sec31"	"Selected"
"IPR010213"	"Domain"	"Transcription termination factor NusA"	"Selected"
"IPR010304"	"Domain"	"Survival motor neuron, Tudor domain"	"Selected"
"IPR010491"	"Domain"	"PRP1 splicing factor, N-terminal"	"Selected"
"IPR010507"	"Domain"	"Zinc finger, MYM-type"	"Selected"
"IPR010513"	"Domain"	"KEN domain"	"Selected"
"IPR010603"	"Domain"	"Zinc finger, ClpX C4-type"	"Selected"
"IPR010622"	"Domain"	"FAST kinase leucine-rich"	"Selected"
"IPR010655"	"Domain"	"Pre-mRNA cleavage complex subunit Clp1, C-terminal"	"Selected"
"IPR010663"	"Domain"	"Zinc finger, FPG/IleRS-type"	"Selected"
"IPR010666"	"Domain"	"Zinc finger, GRF-type"	"Selected"
"IPR010674"	"Domain"	"Nucleolar GTP-binding protein 1, Rossman-fold domain"	"Selected"
"IPR010675"	"Domain"	"RNA methyltransferase bin3, C-terminal"	"Selected"
"IPR010912"	"Domain"	"Spen paralogue/orthologue C-terminal, metazoa"	"Selected"
"IPR011023"	"Domain"	"Nop2p"	"Selected"
"IPR011108"	"Domain"	"Zn-dependent metallo-hydrolase, RNA specificity domain"	"Selected"
"IPR011113"	"Domain"	"Rho termination factor, RNA-binding domain"	"Selected"
"IPR011125"	"Domain"	"Zinc finger, HypF-type"	"Selected"
"IPR011129"	"Domain"	"Cold shock domain"	"Selected"
"IPR011260"	"Domain"	"RNA polymerase, alpha subunit, C-terminal"	"Selected"
"IPR011262"	"Domain"	"DNA-directed RNA polymerase, insert domain"	"Selected"
"IPR011263"	"Domain"	"DNA-directed RNA polymerase, RpoA/D/Rpb3-type"	"Selected"
"IPR011320"	"Domain"	"Ribonuclease H1, N-terminal"	"Selected"
"IPR011430"	"Domain"	"Down-regulated-in-metastasis protein"	"Selected"
"IPR011501"	"Domain"	"Nucleolar complex-associated protein 3, N-terminal"	"Selected"
"IPR011545"	"Domain"	"DEAD/DEAH box helicase domain"	"Selected"
"IPR011666"	"Domain"	"G patch domain-containing protein, N-terminal"	"Selected"
"IPR011709"	"Domain"	"DEAD-box helicase, OB fold"	"Selected"
"IPR011760"	"Domain"	"Pseudouridine synthase, TruD, insertion domain"	"Selected"
"IPR012313"	"Domain"	"Zinc finger, FCS-type"	"Selected"
"IPR012317"	"Domain"	"Poly(ADP-ribose) polymerase, catalytic domain"	"Selected"
"IPR012532"	"Domain"	"BDHCT"	"Selected"
"IPR012541"	"Domain"	"DBP10, C-terminal"	"Selected"
"IPR012562"	"Domain"	"GUCT"	"Selected"
"IPR012579"	"Domain"	"Nucleolar protein 7, C-terminal"	"Selected"
"IPR012580"	"Domain"	"NUC153"	"Selected"
"IPR012583"	"Domain"	"Pre-rRNA-processing protein RIX1, N-terminal"	"Selected"
"IPR012584"	"Domain"	"NUC205 domain"	"Selected"
"IPR012587"	"Repeat"	"RNA helicase p68 repeat"	"Selected"
"IPR012588"	"Domain"	"Exosome-associated factor Rrp6, N-terminal"	"Selected"
"IPR012590"	"Domain"	"POPLD domain"	"Selected"
"IPR012591"	"Domain"	"PRO8NT domain"	"Selected"
"IPR012592"	"Domain"	"PROCN domain"	"Selected"
"IPR012604"	"Domain"	"RBM1CTR"	"Selected"
"IPR012606"	"Domain"	"Ribosomal protein S13/S15, N-terminal"	"Selected"
"IPR012760"	"Domain"	"RNA polymerase sigma factor RpoD, C-terminal"	"Selected"
"IPR012796"	"Domain"	"Lysidine-tRNA(Ile) synthetase, C-terminal"	"Selected"
"IPR012921"	"Domain"	"Spen paralogue and orthologue SPOC, C-terminal"	"Selected"
"IPR012935"	"Domain"	"Zinc finger, C3HC-like"	"Selected"
"IPR012947"	"Domain"	"Threonyl/alanyl tRNA synthetase, SAD"	"Selected"
"IPR012948"	"Domain"	"AARP2CN"	"Selected"
"IPR012953"	"Domain"	"BOP1, N-terminal domain"	"Selected"
"IPR012956"	"Domain"	"CARG-binding factor, N-terminal"	"Selected"
"IPR012959"	"Domain"	"CPL domain"	"Selected"
"IPR012960"	"Domain"	"Dyskerin-like"	"Selected"
"IPR012973"	"Domain"	"NOG, C-terminal"	"Selected"
"IPR012974"	"Domain"	"NOP5, N-terminal"	"Selected"
"IPR012975"	"Domain"	"NOPS"	"Selected"
"IPR012978"	"Domain"	"Uncharacterised domain NUC173"	"Selected"
"IPR012981"	"Domain"	"PIH1, N-terminal"	"Selected"
"IPR012984"	"Domain"	"PROCT domain"	"Selected"
"IPR012987"	"Domain"	"ROK, N-terminal"	"Selected"
"IPR012988"	"Domain"	"Ribosomal protein L30, N-terminal"	"Selected"
"IPR012996"	"Domain"	"Zinc finger, CHHC-type"	"Selected"
"IPR013029"	"Domain"	"YchF, C-terminal domain"	"Selected"
"IPR013085"	"Domain"	"U1-C, C2H2-type zinc finger"	"Selected"
"IPR013103"	"Domain"	"Reverse transcriptase, RNA-dependent DNA polymerase"	"Selected"
"IPR013123"	"Domain"	"RNA 2-O ribose methyltransferase, substrate binding"	"Selected"
"IPR013155"	"Domain"	"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding"	"Selected"
"IPR013158"	"Domain"	"APOBEC-like, N-terminal"	"Selected"
"IPR013159"	"Domain"	"Chromosomal replication initiator, DnaA C-terminal"	"Selected"
"IPR013170"	"Domain"	"mRNA splicing factor Cwf21 domain"	"Selected"
"IPR013197"	"Domain"	"RNA polymerase III subunit RPC82-related, helix-turn-helix"	"Selected"
"IPR013223"	"Domain"	"Ribonuclease B, N-terminal OB domain"	"Selected"
"IPR013238"	"Domain"	"RNA polymerase III, subunit Rpc25"	"Selected"
"IPR013520"	"Domain"	"Exonuclease, RNase T/DNA polymerase III"	"Selected"
"IPR013579"	"Domain"	"FAST kinase-like protein, subdomain 2"	"Selected"
"IPR013584"	"Domain"	"RAP domain"	"Selected"
"IPR013598"	"Domain"	"Exportin-1/Importin-beta-like"	"Selected"
"IPR013699"	"Domain"	"Signal recognition particle, SRP72 subunit, RNA-binding"	"Selected"
"IPR013735"	"Domain"	"Transcription factor NusA, N-terminal"	"Selected"
"IPR013766"	"Domain"	"Thioredoxin domain"	"Selected"
"IPR013791"	"Domain"	"RNA 3'-terminal phosphate cyclase, insert domain"	"Selected"
"IPR013810"	"Domain"	"Ribosomal protein S5, N-terminal"	"Selected"
"IPR013822"	"Domain"	"Signal recognition particle SRP54, helical bundle"	"Selected"
"IPR013823"	"Domain"	"Ribosomal protein L7/L12, C-terminal"	"Selected"
"IPR013843"	"Domain"	"Ribosomal protein S4e, N-terminal"	"Selected"
"IPR013845"	"Domain"	"Ribosomal protein S4e, central region"	"Selected"
"IPR013846"	"Domain"	"mRNA capping enzyme, C-terminal"	"Selected"
"IPR013881"	"Domain"	"Pre-mRNA-splicing factor 3"	"Selected"
"IPR013909"	"Domain"	"Nuclear-interacting partner of ALK/Rsm1-like"	"Selected"
"IPR013915"	"Domain"	"Pre-mRNA-splicing factor 19"	"Selected"
"IPR013934"	"Domain"	"Small-subunit processome, Utp13"	"Selected"
"IPR013953"	"Domain"	"FACT complex subunit Spt16 domain"	"Selected"
"IPR013961"	"Domain"	"RAI1-like"	"Selected"
"IPR013979"	"Domain"	"Translation initiation factor, beta propellor-like domain"	"Selected"
"IPR014001"	"Domain"	"Helicase superfamily 1/2, ATP-binding domain"	"Selected"
"IPR014014"	"Domain"	"RNA helicase, DEAD-box type, Q motif"	"Selected"
"IPR014038"	"Domain"	"Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain"	"Selected"
"IPR014039"	"Domain"	"Translation elongation factor EFTs/EF1B, dimerisation"	"Selected"
"IPR014720"	"Domain"	"Double-stranded RNA-binding domain"	"Selected"
"IPR014744"	"Domain"	"Nuclear receptor coactivator, CREB-bp-like, interlocking"	"Selected"
"IPR014789"	"Domain"	"Poly(A)-specific ribonuclease, RNA-binding"	"Selected"
"IPR014810"	"Domain"	"Fcf2 pre-rRNA processing, C-terminal"	"Selected"
"IPR014813"	"Domain"	"Guanine nucleotide-binding protein-like 3, N-terminal domain"	"Selected"
"IPR014877"	"Domain"	"Exportin-1, C-terminal"	"Selected"
"IPR014881"	"Domain"	"Nin one binding (NOB1) Zn-ribbon-like"	"Selected"
"IPR014886"	"Domain"	"La protein, xRRM domain"	"Selected"
"IPR014898"	"Domain"	"Zinc finger, C2H2, LYAR-type"	"Selected"
"IPR014906"	"Domain"	"Pre-mRNA processing factor 4 (PRP4)-like"	"Selected"
"IPR015016"	"Domain"	"Splicing factor 3B subunit 1"	"Selected"
"IPR015047"	"Domain"	"Synaptojanin-1/2, RNA recognition motif"	"Selected"
"IPR015088"	"Domain"	"Zinc finger, DNA-directed DNA polymerase, family B, alpha"	"Selected"
"IPR015096"	"Domain"	"Far upstream element-binding protein, C-terminal"	"Selected"
"IPR015158"	"Domain"	"Bud22 domain"	"Selected"
"IPR015172"	"Domain"	"MIF4G-like, type 1"	"Selected"
"IPR015174"	"Domain"	"MIF4G-like, type 2"	"Selected"
"IPR015190"	"Domain"	"Translation elongation factor SelB, winged helix, type 2"	"Selected"
"IPR015191"	"Domain"	"Translation elongation factor SelB, winged helix, type 3"	"Selected"
"IPR015240"	"Domain"	"tRNA pseudouridine synthase II, TruB, subfamily 1, C-terminal"	"Selected"
"IPR015245"	"Domain"	"Nuclear RNA export factor Tap, RNA-binding domain"	"Selected"
"IPR015256"	"Domain"	"Initiation factor eIF2 gamma, C-terminal"	"Selected"
"IPR015262"	"Domain"	"tRNA(Ile)-lysidine synthase , substrate-binding domain"	"Selected"
"IPR015327"	"Domain"	"Smaug, PHAT analogous topology"	"Selected"
"IPR015362"	"Domain"	"WIBG, Mago-binding"	"Selected"
"IPR015408"	"Domain"	"Zinc finger, Mcm10/DnaG-type"	"Selected"
